Date,TransportType,Route,DepartureTime,ArrivalTime,Passengers,DepartureStation,ArrivalStation,Delay
2023-06-01,Bus,Route_6,12:52,14:13,30,Station_11,Station_4,31
2023-06-01,Tram,Route_8,20:49,22:30,4,Station_5,Station_4,26
2023-06-01,Metro,Route_7,06:50,08:28,53,Station_10,Station_10,62
2023-06-01,Train,Route_7,07:11,08:39,2,Station_19,Station_12,46
2023-06-01,Train,Route_7,08:49,11:07,55,Station_15,Station_17,29
2023-06-01,Tram,Route_6,19:37,21:30,15,Station_13,Station_11,31
2023-06-01,Bus,Route_6,22:17,24:51,75,Station_3,Station_9,47
2023-06-01,Train,Route_3,12:14,13:01,65,Station_14,Station_3,27
2023-06-01,Train,Route_7,16:53,19:40,6,Station_13,Station_13,63
2023-06-01,Metro,Route_9,22:16,23:34,49,Station_17,Station_5,30
2023-06-01,Train,Route_9,08:13,09:05,63,Station_4,Station_17,32
2023-06-01,Metro,Route_6,14:30,16:08,2,Station_7,Station_10,64
2023-06-01,Tram,Route_5,14:05,15:50,95,Station_6,Station_1,49
2023-06-01,Train,Route_7,22:20,24:02,62,Station_10,Station_18,66
2023-06-01,Train,Route_6,13:51,16:18,17,Station_5,Station_15,73
2023-06-01,Metro,Route_4,06:52,09:44,3,Station_18,Station_17,67
2023-06-01,Tram,Route_6,15:50,16:59,26,Station_17,Station_1,20
2023-06-01,Bus,Route_5,18:16,19:53,62,Station_17,Station_9,57
2023-06-01,Train,Route_8,08:52,11:26,77,Station_1,Station_17,34
2023-06-01,Tram,Route_10,19:08,21:03,82,Station_11,Station_17,55
2023-06-01,Bus,Route_6,13:54,15:06,83,Station_2,Station_11,40
2023-06-01,Metro,Route_1,17:56,18:50,82,Station_18,Station_16,36
2023-06-01,Metro,Route_3,18:12,19:47,32,Station_13,Station_9,48
2023-06-01,Tram,Route_8,12:18,13:35,80,Station_3,Station_16,19
2023-06-01,Train,Route_3,17:52,19:17,18,Station_2,Station_16,49
2023-06-01,Train,Route_2,07:15,08:28,79,Station_18,Station_9,68
2023-06-01,Train,Route_3,07:44,09:37,39,Station_7,Station_2,37
2023-06-01,Tram,Route_6,11:25,13:53,17,Station_18,Station_7,44
2023-06-01,Train,Route_2,21:29,23:23,20,Station_8,Station_19,61
