Date,TransportType,Route,DepartureTime,ArrivalTime,Passengers,DepartureStation,ArrivalStation,Delay
2023-04-01,Train,Route_10,11:37,12:33,21,Station_18,Station_19,38
2023-04-01,Tram,Route_9,19:36,21:16,78,Station_1,Station_4,67
2023-04-01,Tram,Route_6,19:18,20:56,32,Station_20,Station_13,24
2023-04-01,Tram,Route_4,12:44,14:56,83,Station_20,Station_9,42
2023-04-01,Bus,Route_10,20:53,22:24,42,Station_3,Station_15,53
2023-04-01,Bus,Route_1,21:14,23:12,57,Station_1,Station_9,28
2023-04-01,Train,Route_2,21:20,22:24,13,Station_17,Station_13,33
2023-04-01,Tram,Route_9,13:02,14:04,100,Station_10,Station_15,16
2023-04-01,Tram,Route_8,14:51,16:55,49,Station_4,Station_10,53
2023-04-01,Bus,Route_2,14:34,16:35,33,Station_10,Station_9,45
2023-04-01,Train,Route_1,20:30,22:37,14,Station_16,Station_20,21
2023-04-01,Bus,Route_2,03:52,05:27,84,Station_17,Station_7,55
2023-04-01,Bus,Route_9,08:39,10:28,60,Station_16,Station_6,25
2023-04-01,Bus,Route_10,17:45,19:18,83,Station_11,Station_8,25
2023-04-01,Metro,Route_5,18:09,20:39,66,Station_17,Station_4,60
2023-04-01,Train,Route_10,21:46,23:52,73,Station_2,Station_17,72
2023-04-01,Tram,Route_4,17:15,18:31,9,Station_20,Station_1,39
2023-04-01,Bus,Route_3,11:11,14:05,99,Station_3,Station_18,62
2023-04-01,Tram,Route_4,15:13,17:28,8,Station_15,Station_14,24
2023-04-01,Bus,Route_2,15:59,18:02,57,Station_20,Station_19,43
2023-04-01,Metro,Route_9,11:50,14:27,32,Station_19,Station_17,51
2023-04-01,Train,Route_7,18:40,20:38,29,Station_12,Station_2,36
2023-04-01,Tram,Route_8,20:57,22:07,87,Station_13,Station_19,36
2023-04-01,Train,Route_1,08:03,09:36,72,Station_10,Station_13,62
2023-04-01,Bus,Route_3,18:47,20:50,37,Station_20,Station_14,58
2023-04-01,Bus,Route_1,17:14,19:29,95,Station_6,Station_19,68
2023-04-01,Train,Route_5,21:59,24:09,56,Station_12,Station_10,60
2023-04-01,Tram,Route_7,18:29,21:16,95,Station_11,Station_13,60
2023-04-01,Bus,Route_2,12:35,15:01,69,Station_17,Station_14,48
2023-04-01,Metro,Route_1,07:34,09:46,48,Station_15,Station_19,32
2023-04-01,Train,Route_9,08:50,10:25,11,Station_15,Station_20,38
2023-04-01,Metro,Route_8,16:07,18:05,78,Station_17,Station_14,52
2023-04-02,Metro,Route_9,06:58,07:45,58,Station_9,Station_16,1
2023-04-02,Bus,Route_10,10:37,11:43,40,Station_3,Station_15,3
2023-04-02,Metro,Route_8,22:04,23:05,5,Station_18,Station_17,12
2023-04-02,Train,Route_6,19:36,20:39,98,Station_5,Station_1,5
2023-04-02,Metro,Route_7,16:34,16:58,31,Station_14,Station_6,12
2023-04-02,Bus,Route_3,09:42,11:42,62,Station_5,Station_5,2
2023-04-02,Bus,Route_10,10:52,12:31,6,Station_7,Station_1,5
2023-04-02,Bus,Route_3,13:37,14:59,19,Station_12,Station_19,7
2023-04-02,Metro,Route_6,21:18,21:51,45,Station_12,Station_12,6
2023-04-02,Train,Route_1,09:47,10:12,50,Station_19,Station_11,2
2023-04-02,Tram,Route_2,17:59,19:42,64,Station_5,Station_6,5
2023-04-02,Tram,Route_7,11:52,12:19,29,Station_11,Station_1,7
2023-04-02,Tram,Route_7,08:03,08:27,97,Station_13,Station_8,4
2023-04-02,Train,Route_2,16:34,17:58,23,Station_8,Station_1,14
2023-04-02,Tram,Route_5,06:43,08:31,85,Station_7,Station_7,7
2023-04-02,Train,Route_4,16:13,17:30,92,Station_17,Station_11,2
2023-04-02,Bus,Route_3,22:12,24:01,26,Station_15,Station_17,2
2023-04-02,Train,Route_3,13:38,15:03,91,Station_20,Station_8,10
2023-04-02,Tram,Route_3,11:59,12:38,46,Station_6,Station_7,10
2023-04-02,Tram,Route_8,09:53,11:07,14,Station_4,Station_7,1
2023-04-02,Metro,Route_7,05:41,07:28,49,Station_20,Station_10,6
2023-04-02,Train,Route_6,21:42,22:36,3,Station_1,Station_20,2
2023-04-02,Bus,Route_1,05:08,06:18,1,Station_15,Station_19,12
2023-04-02,Bus,Route_6,15:30,17:32,71,Station_20,Station_14,2
2023-04-02,Tram,Route_4,05:49,05:52,6,Station_7,Station_4,1
2023-04-02,Tram,Route_1,08:53,08:58,35,Station_9,Station_7,4
2023-04-02,Tram,Route_6,22:44,24:00,71,Station_16,Station_15,11
2023-04-02,Metro,Route_10,13:28,15:31,40,Station_3,Station_15,6
2023-04-02,Bus,Route_7,19:28,20:47,69,Station_20,Station_5,6
2023-04-02,Bus,Route_10,16:30,18:07,35,Station_16,Station_2,6
2023-04-02,Train,Route_8,20:43,21:14,100,Station_20,Station_17,9
2023-04-02,Tram,Route_1,17:42,18:56,10,Station_6,Station_10,11
2023-04-03,Bus,Route_8,07:17,09:16,49,Station_2,Station_3,11
2023-04-03,Tram,Route_6,18:54,18:59,72,Station_19,Station_13,3
2023-04-03,Bus,Route_5,15:07,16:11,2,Station_14,Station_13,1
2023-04-03,Tram,Route_8,11:33,13:23,97,Station_9,Station_15,9
2023-04-03,Tram,Route_6,21:56,23:52,77,Station_13,Station_15,1
2023-04-03,Metro,Route_4,17:31,19:01,45,Station_11,Station_20,14
2023-04-03,Tram,Route_1,12:11,13:44,98,Station_3,Station_3,13
2023-04-03,Tram,Route_4,18:38,20:44,56,Station_20,Station_1,9
2023-04-03,Train,Route_4,17:40,18:52,4,Station_11,Station_15,13
2023-04-03,Bus,Route_3,19:12,19:57,43,Station_5,Station_9,3
2023-04-03,Train,Route_6,15:57,16:08,21,Station_19,Station_13,0
2023-04-03,Bus,Route_7,17:45,18:15,52,Station_14,Station_7,4
2023-04-03,Metro,Route_5,05:40,06:48,73,Station_9,Station_20,3
2023-04-03,Bus,Route_8,06:57,07:54,7,Station_15,Station_17,0
2023-04-03,Tram,Route_6,21:34,23:12,29,Station_14,Station_14,4
2023-04-03,Tram,Route_10,22:56,24:27,9,Station_4,Station_17,14
2023-04-03,Tram,Route_3,17:26,18:04,40,Station_5,Station_16,12
2023-04-03,Train,Route_3,05:09,07:12,75,Station_6,Station_16,3
2023-04-03,Tram,Route_8,20:23,21:31,2,Station_19,Station_1,6
2023-04-03,Tram,Route_8,17:45,19:23,95,Station_15,Station_6,1
2023-04-03,Tram,Route_6,06:05,06:52,23,Station_12,Station_9,5
2023-04-03,Train,Route_5,17:37,18:45,98,Station_12,Station_9,0
2023-04-03,Metro,Route_10,18:33,18:57,54,Station_19,Station_3,0
2023-04-03,Metro,Route_5,07:03,07:29,96,Station_2,Station_19,5
2023-04-03,Train,Route_3,17:32,19:08,67,Station_18,Station_12,4
2023-04-03,Bus,Route_4,22:44,23:11,53,Station_7,Station_5,5
2023-04-03,Tram,Route_1,09:14,11:07,3,Station_2,Station_8,0
2023-04-03,Tram,Route_10,06:22,06:32,35,Station_10,Station_1,8
2023-04-03,Bus,Route_2,05:03,05:40,38,Station_3,Station_5,2
2023-04-03,Train,Route_8,12:46,14:44,48,Station_19,Station_7,0
2023-04-03,Tram,Route_6,16:48,18:33,15,Station_15,Station_20,5
2023-04-03,Metro,Route_8,12:30,14:35,27,Station_19,Station_1,11
2023-04-04,Train,Route_1,06:16,06:54,79,Station_1,Station_1,0
2023-04-04,Metro,Route_9,12:30,14:29,10,Station_3,Station_1,13
2023-04-04,Bus,Route_4,07:50,08:27,95,Station_17,Station_5,7
2023-04-04,Train,Route_10,13:44,14:55,18,Station_14,Station_18,0
2023-04-04,Train,Route_5,15:32,16:56,73,Station_13,Station_9,9
2023-04-04,Metro,Route_4,22:24,23:10,26,Station_7,Station_10,1
2023-04-04,Train,Route_7,20:47,21:33,45,Station_20,Station_5,5
2023-04-04,Bus,Route_4,14:26,16:12,5,Station_8,Station_7,14
2023-04-04,Bus,Route_9,18:47,20:41,73,Station_5,Station_4,7
2023-04-04,Metro,Route_7,21:07,22:58,71,Station_2,Station_18,14
2023-04-04,Bus,Route_2,22:01,24:03,92,Station_12,Station_20,4
2023-04-04,Train,Route_7,22:05,23:16,62,Station_7,Station_2,13
2023-04-04,Tram,Route_1,18:27,20:14,95,Station_10,Station_15,14
2023-04-04,Tram,Route_10,06:53,08:43,43,Station_7,Station_9,10
2023-04-04,Train,Route_8,15:43,16:35,66,Station_17,Station_17,3
2023-04-04,Train,Route_7,06:18,06:37,82,Station_5,Station_7,9
2023-04-04,Bus,Route_8,09:02,11:05,9,Station_16,Station_1,3
2023-04-04,Tram,Route_8,11:25,11:33,78,Station_18,Station_6,6
2023-04-04,Tram,Route_6,14:04,15:06,5,Station_15,Station_16,11
2023-04-04,Metro,Route_4,10:26,10:34,39,Station_17,Station_12,7
2023-04-04,Metro,Route_1,17:32,19:13,43,Station_15,Station_8,12
2023-04-04,Tram,Route_7,12:59,14:30,10,Station_15,Station_10,2
2023-04-04,Tram,Route_4,21:15,22:05,49,Station_7,Station_14,11
